Editoriales españolas,,
Posición,Editorial,ICEE
1,Bellaterra Edicions,37
2,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),23
3,Publicacions URV,17
4,Consejo Superior de Investigaciones Científicas (CSIC),16
5,Anthropos Editorial,15
6,"Cátedra (Grupo Anaya, Hachette Livre)",12
7,Icaria Editorial,11
8,Edicions Universitat Autònoma de Barcelona,10
9,Trotta,9
9,Edicions de la Universitat de Barcelona,9
10,Siglo XXI de España Editores (Grupo Akal),8
10,Taurus (Penguin Random House Grupo Editorial),8
11,Ariel (Grupo Planeta),7
11,Síntesis,7
11,Crítica (Grupo Planeta),7
12,Aranzadi (Aranzadi LA LEY / Karnov Group),6
12,Marcial Pons,6
13,Almuzara,5
14,McGraw Hill,4
14,Gedisa,4
14,Junta de Andalucía,4
15,Akal (Grupo Akal),3
15,Aconcagua Libros,3
15,Editorial UOC,3
16,"Alianza (Grupo Anaya, Hachette Livre)",2
16,Editorial Universidad de Granada,2
