Editoriales españolas,,
Posición,Editorial,ICEE
1,Ediciones Complutense,31
2,Ariel (Grupo Planeta),30
2,Akal (Grupo Akal),30
3,Consejo Superior de Investigaciones Científicas (CSIC),27
4,"Cátedra (Grupo Anaya, Hachette Livre)",17
5,Comares,10
6,Crítica (Grupo Planeta),9
6,Sílex Ediciones,9
6,Traficantes de sueños,9
7,Bellaterra Edicions,8
7,Editorial Universidad de Granada,8
8,Trabe,7
9,Editorial Universidad de Sevilla,6
9,Museo Arqueologico Regional. Alcalá de Henares.,6
9,Destino (Grupo Planeta),6
10,UAM Ediciones,5
11,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),4
11,Síntesis,4
11,Casa de Velázquez,4
12,Pre-textos,3
13,McGraw Hill,2
13,Aranzadi (Aranzadi LA LEY / Karnov Group),2
13,"Tecnos (Grupo Anaya, Hachette Livre)",2
14,Paidós (Grupo Planeta),1
14,Real Academia de la Historia (RAH),1
