Posición,Editorial,ICEE
1,Akal (Grupo Akal),87
2,Editorial Universidad de Granada,46
3,Cátedra (Grupo Anaya / Hachette Livre),44
4,Dykinson,34
5,Abada Editores,33
6,Alianza (Grupo Anaya / Hachette Livre),32
7,McGraw Hill,28
8,Comares,25
8,Tecnos (Grupo Anaya / Hachette Livre),25
9,Publicacions de la Universitat de València – PUV,23
10,Sílex Ediciones,21
10,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),21
11,Siruela,20
12,Consejo Superior de Investigaciones Científicas (CSIC),19
13,Anagrama,18
13,Museo Nacional Centro de Arte Reina Sofia (MNCARS),18
14,Gustavo Gili,17
15,Trea,16
16,Shangrila ediciones,12
17,Editorial Universidad de Sevilla,11
17,"USC, editora (Universidade Santiago de Compostela)",11
18,Editorial Sindéresis,10
18,Paidós (Grupo Planeta),10
18,EDITUM. Ediciones de la Universidad de Murcia,10
18,Prensas de la Universidad de Zaragoza (PUZ),10
19,Octaedro,9
19,Ediciones Complutense,9
19,Edicions de la Universitat de Barcelona,9
19,Casa de Velázquez,9
19,Alpuerto,9
19,Instituto Valenciano de Arte Moderno (IVAM),9
20,Ediciones Universidad de Salamanca,8
20,Ediciones Asimétricas,8
20,Ediciones Cinca,8
20,Filmoteca Valenciana,8
20,Consonni,8
20,Los Libros de la Frontera,8
20,Sendema,8
20,Cendeac,8
21,Bellaterra Edicions,7
21,Pearson Educación,7
21,Universidad de Extremadura. Servicio de Publicaciones,7
21,Visor Libros,7
21,Semana Internacional de Cine de Valladolid (SEMINCI),7
21,Libros Pórtico,7
21,Edicions 62 (Grup6 / Grupo Planeta),7
21,Umaeditorial. Universidad de Málaga,7
22,Síntesis,6
22,Sociedad Española de Musicología (SEdeM),6
22,Traficantes de sueños,6
22,Ediciones Museo del Prado,6
22,Comunicación Social Ediciones y Publicaciones,6
22,Lunwerg Editores  (Grupo Planeta),6
22,Acantilado,6
22,Nau Llibres (Edicions Culturals Valencianes),6
22,Ediciones de la Universidad de Castilla-La Mancha,6
22,Editorial Nerea,6
22,Festival de Cine Español de Málaga,6
22,Pre-textos,6
22,Museo Nacional Centro de Arte Reina Sofía,6
23,Civitas (Aranzadi LA LEY / Karnov Group),5
23,Egregius Editorial,5
23,Fondo de Cultura Económica de España,5
23,Wanceulen Editorial,5
24,Universitat Jaume I. Publicacions,4
24,Academia del Hispanismo,4
24,Museo Picasso Málaga,4
24,Museu Nacional d’Art de Catalunya,4
25,Galaxia Gutenberg,3
25,Verbum,3
25,Museo Picasso Barcelona,3
25,Festival Internacional de Cine de San Sebastián,3
26,Siglo XXI de España Editores (Grupo Akal),2
26,Publicacions de l’Abadia de Montserrat,2
26,Sociedad Española de Estudios Medievales (SEEM),2
26,Editorial UOC,2
26,Biblioteca Nueva,2
26,Sans Soleil Ediciones,2
26,"Ministerio De Educación, Cultura Y Deporte (Ministerio de Cultura y Deporte / Ministerio de Educación y Formación Profesional)",2
26,Filmoteca de Catalunya,2
26,Centro de Ediciones de la Diputación de Málaga (CEDMA),2
27,Gedisa,1
27,Anaya Multimedia (Grupo Anaya),1
27,Editorial UNED,1
27,Servicio de Publicaciones de la Universidad de León,1
27,Diputación de Sevilla,1
27,Academia de las Artes y las Ciencias Cinematográficas de España,1
