Posición,Editorial,ICEE
1,Trea,49
2,"Pirámide (Grupo Anaya, Hachette Livre)",39
3,Editorial UOC,35
4,Síntesis,30
5,EDITUM. Ediciones de la Universidad de Murcia,11
6,Editorial Universidad de Granada,9
7,McGraw Hill,8
7,Fondo de Cultura Económica de España,8
8,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),7
8,Consejo Superior de Investigaciones Científicas (CSIC),7
8,Nau Llibres (Edicions Culturals Valencianes),7
9,"Tecnos (Grupo Anaya, Hachette Livre)",6
10,"Cátedra (Grupo Anaya, Hachette Livre)",5
11,Fundación BBVA,2
12,Filmoteca Valenciana,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
