Editoriales españolas,,
Posición,Editorial,ICEE
1,Cátedra (Grupo Anaya / Hachette Livre),93
2,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),73
3,Gedisa,69
4,Editorial UOC,49
5,Alianza (Grupo Anaya / Hachette Livre),46
6,Paidós (Grupo Planeta),40
7,Fragua,39
8,Dykinson,36
9,Tecnos (Grupo Anaya / Hachette Livre),31
10,Síntesis,28
10,Comunicación Social Ediciones y Publicaciones,28
11,McGraw Hill,25
12,Egregius Editorial,16
13,Anagrama,19
13,Ariel (Grupo Planeta),19
14,Shangrila ediciones,18
15,Laertes,13
16,Anthropos Editorial,12
17,Edicions Universitat Autònoma de Barcelona,10
17,Editorial Fundamentos,10
18,Galaxia Gutenberg,9
18,Nau Llibres (Edicions Culturals Valencianes),9
19,ESIC Editorial,8
19,EUNSA. Ediciones Universidad de Navarra,8
19,Gustavo Gili,8
19,Anaya Multimedia,8
19,Ampersand,8
19,Advook Editorial,8
20,Akal (Grupo Akal),7
20,Siglo XXI de España Editores (Grupo Akal),7
21,Pirámide (Grupo Anaya / Hachette Livre),6
21,Filmoteca Valenciana,6
21,Institución Alfons el Magnànim,6
21,Pre-textos,6
22,Prensas de la Universidad de Zaragoza (PUZ),5
22,Sans Soleil Ediciones,5
23,Icaria Editorial,4
23,Acantilado,4
23,Virus Editorial,4
24,Prentice Hall Iberia,3
24,Trotta,3
25,Fondo de Cultura Económica de España,2
25,Biblioteca Nueva,2
25,Ediciones Rialp,2
25,Sociedad Latina de Comunicación Social,2
25,Ediciones JC,2
25,Eumo Editorial,2
26,Ediciones Universidad de Salamanca,1
26,Editorial Universidad de Sevilla,1
26,Ediciones Complutense,1
26,Colección Mundo Digital (Universitat d’Alacant),1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
