Editoriales españolas,,
Posición,Editorial,ICEE
1,Tirant lo Blanch /Grupo editorial Tirant lo Blanch),624
2,Aranzadi (Aranzadi LA LEY / Karnov Group),603
3,Dykinson,346
4,Marcial Pons,280
5,Comares,256
6,Tecnos (Grupo Anaya / Hachette Livre),141
7,Atelier,138
8,Iustel,126
9,La Ley (Aranzadi LA LEY / Karnov Group),118
10,Civitas (Aranzadi LA LEY / Karnov Group),116
11,Laborum Ediciones,68
12,Trotta,61
12,Editorial Reus,61
13,Bomarzo,54
14,Bosch (Aranzadi LA LEY / Karnov Group),47
15,Boletín Oficial del Estado (BOE),46
16,Centro de Estudios Políticos y Constitucionales (CEPC),35
17,Editorial Colex,16
18,Editorial Sindéresis,13
19,Akal (Grupo Akal),12
20,Siglo XXI de España Editores (Grupo Akal),10
20,Ediciones Cinca,10
20,"Ministerio de Empleo y Seguridad Social (Ministerio de Inclusión, Seguridad Social y Migraciones)",10
21,Ariel (Grupo Planeta),9
21,Bellaterra Edicions,9
21,Gedisa,9
21,EUNSA. Ediciones Universidad de Navarra,9
21,"J.M. Bosch, Editor",9
22,Centro de Estudios Registrales,8
22,Lefebvre,8
23,Instituto de Estudios Fiscales (IEF),7
23,Colegio de Registradores,7
23,Fundación Notariado,7
23,Consejo Económico y Social (CES),7
24,Síntesis,6
24,Westlaw (Aranzadi LA LEY / Karnov Group),6
24,Sepín,6
24,Andavira Editora,6
24,CISS (Aranzadi LA LEY / Karnov Group),6
25,Los Libros de la Catarata,5
25,Editorial UOC,5
25,Fundación Ramón Areces,5
25,Athenaica Ediciones,5
26,Consejo Superior de Investigaciones Científicas (CSIC),4
26,El Derecho (Lefebvre),4
27,Edisofer,3
28,McGraw Hill,2
28,Publicacions de la Universitat de València – PUV,2
28,Guillermo Escolar Editor,2
28,Ministerio de Trabajo y Economía Social,2
28,Ediciones jurídicas Castillo de luna,2
28,Instituto Andaluz de Administración Pública,2
28,Consejo General del Poder Judicial (CGPJ),2
29,Ediciones Complutense,1
29,Lex Nova,1
29,Centro de Estudios Municipales y Cooperación Internacional (CEMCI),1
29,Servicio de Publicaciones de la Universidad Pontificia de Salamanca,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
