Posición,Editorial,ICEE
1,McGraw Hill,351
2,"Pirámide (Grupo Anaya, Hachette Livre)",270
3,ESIC Editorial,184
4,Civitas. Aranzadi LA LEY (Karnov Group),153
5,Pearson Educación,145
6,Prentice Hall Iberia,131
7,Elsevier España,115
8,Ariel (Grupo Planeta),108
9,Instituto de Estudios Fiscales (IEF),79
9,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),79
10,Aranzadi (Aranzadi LA LEY / Karnov Group)),76
11,Dykinson,63
12,Fundación BBVA,59
12,Fundación de las Cajas de Ahorros (FUNCAS),59
12,Antoni Bosch Editor,59
13,Ediciones Paraninfo,44
14,Fundación Ramón Areces,43
15,Consejo Superior de Investigaciones Científicas (CSIC),42
16,Marcial Pons,41
17,La Ley (Aranzadi LA LEY / Karnov Group),40
18,Síntesis,34
19,Bosch (Aranzadi LA LEY / Karnov Group),29
20,Centro de Investigaciones Sociológicas (CIS),22
21,Editorial Universitaria Ramón Areces,20
22,Springer Verlag Ibérica,19
23,Consejo Económico y Social (CES),18
24,Crítica (Grupo Planeta),17
25,Asociación Española de Contabilidad y Administración (AECA),16
25,Alianza (Grupo Anaya / Hachette Livre),16
25,Deusto (Grupo Planeta),16
26,Fondo de Cultura Económica de España,15
27,Octaedro,13
27,Tecnos (Grupo Anaya / Hachette Livre),13
27,Editorial Reverté,13
28,Delta Publicaciones,12
28,CIRIEC,12
29,ICEX,10
29,Universidad de Extremadura. Servicio de Publicaciones,10
30,Ediuno. Ediciones de la Universidad de Oviedo,9
30,Universitat Jaume I. Publicacions,9
30,Edicions de la Universitat de Barcelona,9
30,Fundación FOESSA,9
30,Septem Ediciones,9
31,Tórculo Ediciones,8
31,Netbiblo,8
31,Publicaciones DYNA,8
31,Instituto Nacional de Estadística INE),8
31,Anaya Multimedia (Grupo Anaya),8
31,Editorial AC,8
32,Arco Libros – La Muralla,7
32,Comares,7
32,Paidós (Grupo Planeta),7
32,"USC, editora (Universidade Santiago de Compostela)",7
32,Planeta (Grup 62. Grupo Planeta),7
32,Díaz de Santos,7
32,Instituto de Estadística y Cartografía de Andalucía,7
32,Civitas (Aranzadi LA LEY / Karnov Group),7
33,Comunidad de Madrid,6
34,Editorial UOC,5
34,UAM Ediciones,5
34,Deusto Publicaciones,5
35,Servicio Editorial de la UPV/EHU,4
35,KRK Ediciones,4
35,Universidad de La Rioja. Servicio de Publicaciones,4
35,Garceta Grupo Editorial,4
35,Centro de Estudios Ramón Areces (CEURA),4
36,Gedisa,3
36,Ediciones Complutense,3
36,Herder Editorial,3
36,Publicacions Universitat d’Alacant,3
36,Instituto Nacional de Administración Pública (INAP),3
37,Publicacions de la Universitat de València – PUV,1
37,Editorial Universitas,1
37,Junta de Andalucía,1
37,Fundación de Investigaciones Marxistas,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
