Posición,Editorial,ICEE
1,Octaedro,141
2,Síntesis,124
3,Graó Editorial,113
4,Dykinson,85
5,Pirámide (Grupo Anaya / Hachette Livre),82
6,Narcea,70
7,Morata,68
8,Paidotribo,39
9,Paidós (Grupo Planeta),37
10,Ediciones Paraninfo,33
11,INDE Editorial,31
12,McGraw Hill,30
13,Consejo Superior de Investigaciones Científicas (CSIC),28
14,Wanceulen Editorial,23
15,Editorial Universidad de Granada,22
15,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),22
16,Alianza (Grupo Anaya / Hachette Livre),19
17,Ediciones Aljibe,18
18,Akal (Grupo Akal),13
18,Arco Libros – La Muralla,13
18,Díada Editora,13
19,Los Libros de la Catarata,12
20,Comares,10
20,Trea,10
20,Elsevier España,10
21,Icaria Editorial,9
21,Horsori Editorial,9
22,Siglo XXI de España Editores (Grupo Akal),8
22,La Ley (Aranzadi LA LEY / Karnov Group),8
22,Anaya Multimedia (Grupo Anaya),8
23,Aranzadi (Aranzadi LA LEY / Karnov Group),7
23,EDITUM. Ediciones de la Universidad de Murcia,7
23,Virus Editorial,7
23,Editorial Aula Magna (McGraw Hill),7
24,Ediciones Universidad de Salamanca,6
24,Pearson Educación,6
24,Ediciones Universidad de Valladolid,6
24,GEU Editorial,6
25,Editorial UOC,5
25,Sociedad Española de Investigación en Educación Matemática,5
26,Gedisa,4
26,Publicacions de la Universitat de València – PUV,4
26,Edicions de la Universitat de Barcelona,4
26,Destino (Grupo Planeta),4
27,Cátedra (Grupo Anaya / Hachette Livre),3
27,UAM Ediciones,3
27,Plaza y Valdés Editores,3
27,Editorial UNED,3
28,Trotta,2
28,Edicions Universitat Autònoma de Barcelona,2
28,"Ministerio De Educación, Cultura Y Deporte (Ministerio de Cultura y Deporte / Ministerio de Educación y Formación Profesional)",2
28,Calambur Editorial,2
29,UCOPress. Editorial Universidad de Córdoba,1
29,Laertes,1
29,Publicaciones de la Universidad de Huelva,1
29,Kronos,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
