Posición,Editorial,ICEE
1,"Tecnos (Grupo Anaya, Hachette Livre)",125
2,"Alianza (Grupo Anaya, Hachette Livre)",76
3,Akal (Grupo Akal),59
4,Comares,44
5,Siglo XXI de España Editores (Grupo Akal),35
6,"Cátedra (Grupo Anaya, Hachette Livre)",34
7,Paidós (Grupo Planeta),33
8,Herder Editorial,30
9,Plaza y Valdés Editores,27
9,Gedisa,27
10,Dykinson,26
11,Ariel (Grupo Planeta),23
12,Abada Editores,15
13,Guillermo Escolar Editor,14
13,Almuzara,14
14,EUNSA. Ediciones Universidad de Navarra,13
15,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),11
15,Publicacions de la Universitat de València – PUV,11
16,Editorial Sindéresis,10
16,Sígueme,10
17,Trotta,9
17,Visor Libros,9
17,Servicio de Publicaciones de la Universidad Pontificia de Salamanca,9
18,Los Libros de la Catarata,8
18,Anthropos Editorial,8
18,Editorial UNED,8
19,Síntesis,7
19,Fondo de Cultura Económica de España,7
19,Icaria Editorial,7
19,Biblioteca Nueva,7
20,Taurus (Penguin Random House Grupo Editorial),6
20,Antonio Machado Libros,6
20,Pre-textos,6
21,"Anaya (Grupo Anaya, Hachette Livre)",3
21,edUPV. Universitadt Politècnica de València,3
21,Ediciones Rialp,3
21,Editorial San Esteban,3
22,Gredos (Grupo RBA),2
22,Athenaica Ediciones,2
22,Anagrama,2
23,Consejo Superior de Investigaciones Científicas (CSIC),1
23,Ediciones Encuentro,1
23,Nau Llibres (Edicions Culturals Valencianes),1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
