Editoriales españolas,,
Posición,Editorial,ICEE General
1,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),1096
2,Aranzadi (Aranzadi LA LEY / Karnov Group),760
3,Dykinson,758
4,McGraw Hill,541
5,"Alianza (Grupo Anaya, Hachette Livre)",530
5,"Pirámide (Grupo Anaya, Hachette Livre)",530
6,"Cátedra (Grupo Anaya, Hachette Livre)",525
6,Comares,525
7,Marcial Pons,521
8,Síntesis,487
9,Akal (Grupo Akal),442
10,Consejo Superior de Investigaciones Científicas (CSIC),411
11,"Tecnos (Grupo Anaya, Hachette Livre)",390
12,Ariel (Grupo Planeta),379
13,Civitas (Aranzadi LA LEY / Karnov Group),274
14,Pearson Educación,204
15,ESIC Editorial,192
16,Iberoamericana Vervuert,182
17,La Ley (Aranzadi LA LEY / Karnov Group),174
18,Elsevier España,167
19,Editorial Universidad de Granada,165
19,Octaedro,165
20,Gredos (Grupo RBA),164
20,Publicacions de la Universitat de València – PUV,164
21,Crítica (Grupo Planeta),163
22,Prentice Hall Iberia,156
23,Arco Libros – La Muralla,142
24,Atelier,138
25,Paidós (Grupo Planeta),137
26,Iustel,132
27,Graó Editorial,126
28,Siglo XXI de España Editores (Grupo Akal),124
29,Trea,123
30,Gedisa,122
31,Sílex Ediciones,115
32,Los Libros de la Catarata,112
33,Centro de Investigaciones Sociológicas (CIS),106
33,Ediciones Universidad de Salamanca,106
34,Editorial UOC,104
35,Trotta,101
36,Editorial Universidad de Sevilla,96
37,Ediciones Complutense,93
38,Bellaterra Edicions,89
39,Instituto de Estudios Fiscales (IEF),86
40,Visor Libros,83
41,Ediciones Paraninfo,80
42,Abada Editores,78
43,Morata,77
44,Bosch (Aranzadi LA LEY / Karnov Group),76
45,Narcea,74
46,Anthropos Editorial,72
47,Icaria Editorial,70
48,EUNSA. Ediciones Universidad de Navarra,68
48,Laborum Ediciones,68
49,Fundación BBVA,67
50,Edicions de la Universitat de Barcelona,65
51,Asociación Española de Geografía,64
52,Fondo de Cultura Económica de España,63
52,Fundación de las Cajas de Ahorros (FUNCAS),63
53,Anagrama,61
53,Editorial Reus,61
54,Espasa (Grupo Planeta),60
55,Antoni Bosch Editor,59
56,Prensas de la Universidad de Zaragoza (PUZ),57
57,Taurus (Penguin Random House Grupo Editorial),56
58,Bomarzo,54
59,Real Academia Española (RAE),53
60,Fundación Ramón Areces,50
60,Herder Editorial,50
61,Editorial Sindéresis,48
61,Traficantes de sueños,48
62,Boletín Oficial del Estado (BOE),46
63,Centro de Estudios Políticos y Constitucionales (CEPC),43
64,Casa de Velázquez,40
65,Comunicación Social Ediciones y Publicaciones,39
65,Fragua,39
65,Paidotribo,39
66,Guillermo Escolar Editor,38
66,Renacimiento Editorial,38
66,"USC, editora (Universidade Santiago de Compostela)",38
67,Plaza y Valdés Editores,37
68,EDITUM. Ediciones de la Universidad de Murcia,33
68,Gustavo Gili,33
68,Pre-textos,33
68,Servicio Editorial de la UPV/EHU,33
69,Galaxia Gutenberg,32
70,Castalia,31
70,INDE Editorial,31
71,Shangrila ediciones,30
72,Sanz y Torres,29
73,Verbum,28
73,Wanceulen Editorial,28
74,Asunivep,27
74,Turner,27
74,UAM Ediciones,27
75,Biblioteca Nueva,26
75,Ediciones Universidad de Valladolid,26
75,Editorial UNED,26
76,Almuzara,25
76,Anaya Multimedia (Grupo Anaya),25
76,Consejo Económico y Social (CES),25
76,Egregius Editorial,25
76,Pasado & Presente,25
77,Editorial Universitaria Ramón Areces,23
77,Museo Nacional Centro de Arte Reina Sofia (MNCARS),23
77,Nau Llibres (Edicions Culturals Valencianes),23
78,Ediciones Aljibe,22
78,Ediciones Museo del Prado,22
78,Edicions Universitat Autònoma de Barcelona,22
78,Planeta (Grup 62. Grupo Planeta),22
79,Institución Fernando el Católico,21
80,Acantilado,20
80,Publicacions URV,20
80,Siruela,20
80,UCOPress. Editorial Universidad de Córdoba,20
81,Publicacions de l’Abadia de Montserrat,19
81,Springer Verlag Ibérica,19
82,Capitán Swing,18
82,Ediciones Cinca,18
83,Universidad de Extremadura. Servicio de Publicaciones,17
84,Asociación Española de Contabilidad y Administración (AECA),16
84,Deusto (Grupo Planeta),16
84,Ediciones Encuentro,16
84,Editorial Colex,16
84,Lunwerg Editores  (Grupo Planeta),16
84,Sociedad Española de Musicología (SEdeM),16
85,Alfaguara,15
85,Editorial Nerea,15
85,Filmoteca Valenciana,15
86,Cilengua,14
86,Editorial Fundamentos,14
86,Editorial Universidad de Alcalá,14
86,Laertes,14
86,Virus Editorial,14
87,Alpuerto,13
87,Díada Editora,13
87,Ediciones de la Universidad de Castilla-La Mancha,13
87,Edicions 62 (Grup62. Grupo Planeta),13
87,Editorial Reverté,13
87,Publicaciones de la Universidad de Huelva,13
87,Sociedad Española de Estudios Medievales (SEEM),13
87,Universitat Jaume I. Publicacions,13
88,Academia del Hispanismo,12
88,CIRIEC,12
88,Delta Publicaciones,12
88,Editorial Médica Panamericana,12
88,Publicacions Universitat d’Alacant,12
