Editoriales españolas,,
Posición,Editorial,ICEE
1,Asociación Española de Geografía,64
2,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),59
3,Síntesis,38
4,"Cátedra (Grupo Anaya, Hachette Livre)",34
5,Ariel (Grupo Planeta),33
6,Publicacions de la Universitat de València – PUV,20
7,Elsevier España,19
7,Icaria Editorial,19
8,Traficantes de sueños,18
9,Aranzadi (Aranzadi LA LEY / Karnov Group),15
10,McGraw Hill,9
10,"Alianza (Grupo Anaya, Hachette Livre)",9
11,Biblioteca Nueva,8
12,Consejo Superior de Investigaciones Científicas (CSIC),7
12,Akal (Grupo Akal),7
13,Bellaterra Edicions,6
13,Los Libros de la Catarata,6
14,Ediciones Universidad de Salamanca,5
14,Editorial UNED,5
14,Instituto Geográfico Nacional,5
15,Anthropos Editorial,4
16,Comares,3
16,Planeta (Grup 62. Grupo Planeta),3
16,Virus Editorial,3
16,Ediciones del Serbal,3
17,Fundación Ramón Areces,2
17,UAM Ediciones,2
17,Editorial Universidad de Sevilla,2
17,Edicions UIB – Universitat de les Illes Balears,2
18,Ediciones Complutense,1
18,Publicacions de l’Abadia de Montserrat,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
