Posición,Editorial,ICEE
1,Marcial Pons,165
2,Consejo Superior de Investigaciones Científicas (CSIC),116
3,Akal (Grupo Akal),109
4,Alianza (Grupo Anaya / Hachette Livre),105
5,Crítica (Grupo Planeta),94
6,Sílex Ediciones,84
7,Comares,82
8,Dykinson,61
9,Cátedra (Grupo Anaya / Hachette Livre),56
10,Síntesis,47
11,Editorial Universidad de Granada,44
12,Trea,41
13,Publicacions de la Universitat de València – PUV,40
14,Ediciones Universidad de Salamanca,34
15,Editorial Universidad de Sevilla,31
16,EUNSA. Ediciones Universidad de Navarra,30
17,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),28
18,Casa de Velázquez,27
19,Ediciones Complutense,26
20,Pasado & Presente,25
21,Ariel (Grupo Planeta),24
22,Taurus (Penguin Random House Grupo Editorial),23
23,Edicions de la Universitat de Barcelona,22
24,Prensas de la Universidad de Zaragoza (PUZ),19
25,Espasa (Grupo Planeta),17
26,Iberoamericana Vervuert,16
26,Ediciones Museo del Prado,16
27,Ediciones Encuentro,15
27,Servicio Editorial de la UPV/EHU,15
28,Los Libros de la Catarata,13
28,Institución Fernando el Católico,13
28,Abada Editores,13
29,Ediciones Universidad de Valladolid,12
30,Sociedad Española de Estudios Medievales (SEEM),11
30,Doce Calles,11
31,Ediciones El Viso,10
31,Fundación Santa Maria la Real,10
31,Galaxia Gutenberg,10
31,Sociedad Española de Musicología (SEdeM),10
31,Lunwerg Editores  (Grupo Planeta),10
32,"Tecnos (Grupo Anaya, Hachette Livre)",9
32,Traficantes de sueños,9
32,Institut Català d’Arqueologia Clàssica (ICAC),9
32,Editorial Actas,9
32,Editorial Nerea,9
32,Artium,9
33,Bellaterra Edicions,8
33,Editorial Sindéresis,8
33,Morata,8
33,Siglo XXI de España Editores (Grupo Akal),8
33,Gustavo Gili,8
33,UAM Ediciones,8
33,Acantilado,8
33,Editorial Afers,8
34,Aranzadi (Aranzadi LA LEY / Karnov Group),7
34,Gredos (Grupo RBA),7
34,Icaria Editorial,7
34,Istmo (Grupo Akal),7
34,Publicacions Universitat d’Alacant,7
34,Plaza y Valdés Editores,7
34,Pagès Editors,7
34,Ediciones de la Universidad de Castilla-La Mancha,7
35,UCOPress. Editorial Universidad de Córdoba,6
35,Almuzara,6
35,Publicaciones de la Universidad de Huelva,6
35,La Ergástula,6
35,Instituto de Estudios Almerienses,6
36,Gedisa,5
36,Museo Nacional Centro de Arte Reina Sofia (MNCARS),5
36,Fondo de Cultura Económica de España,5
36,Turner,5
36,Centro de Estudios Políticos y Constitucionales (CEPC),5
36,EDITUM. Ediciones de la Universidad de Murcia,5
36,Comunicación Social Ediciones y Publicaciones,5
36,Instituto Complutense de Ciencias Musicales,5
37,Narcea,4
37,Alpuerto,4
37,Libros Pórtico,4
37,"Ministerio De Educación, Cultura Y Deporte (Ministerio de Cultura y Deporte / Ministerio de Educación y Formación Profesional)",4
37,Ediciones Rialp,4
37,Polifemo,4
37,Instituto de Estudios Riojanos,4
38,Renacimiento Editorial,3
38,Elsevier España,3
38,Guillermo Escolar Editor,3
38,Publicacions URV,3
38,Editorial UNED,3
