Posición,Editorial,ICEE
1,Cátedra (Grupo Anaya / Hachette Livre),210
2,Iberoamericana Vervuert,166
3,Gredos (Grupo RBA),155
4,Arco Libros – La Muralla,114
5,Consejo Superior de Investigaciones Científicas (CSIC),102
6,Akal (Grupo Akal),89
7,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),82
8,Ariel (Grupo Planeta),68
9,Comares,67
9,Visor Libros,67
10,Alianza (Grupo Anaya / Hachette Livre),59
11,Publicacions de la Universitat de València – PUV,57
12,Síntesis,53
12,Real Academia Española (RAE),53
13,Ediciones Universidad de Salamanca,47
14,Editorial Universidad de Sevilla,45
15,Espasa (Grupo Planeta),43
16,Crítica (Grupo Planeta),36
17,Renacimiento Editorial,35
18,Castalia,31
19,Dykinson,28
20,Verbum,25
21,Editorial Universidad de Granada,24
22,Prensas de la Universidad de Zaragoza (PUZ),23
23,Anagrama,22
24,Ediciones Complutense,21
25,Guillermo Escolar Editor,19
26,Abada Editores,17
27,Publicacions de l’Abadia de Montserrat,16
28,Alfaguara,15
29,Cilengua,14
29,Anthropos Editorial,14
30,Marcial Pons,13
30,UCOPress. Editorial Universidad de Córdoba,13
30,Taurus (Penguin Random House Grupo Editorial),13
31,"USC, editora (Universidade Santiago de Compostela)",12
31,Edicions de la Universitat de Barcelona,12
31,Planeta (Grup 62 / Grupo Planeta),12
31,Editorial Universidad de Alcalá,12
32,Alfar,10
32,Bellaterra Edicions,10
32,Galaxia Gutenberg,10
32,Siglo XXI de España Editores (Grupo Akal),10
32,Fundación Universitaria Española,10
33,Fondo de Cultura Económica de España,9
33,Instituto de Estudios Humanísticos,9
33,Consello da Cultura Galega,9
33,Ediciones Clásicas,9
34,McGraw Hill,8
34,Tecnos (Grupo Anaya / Hachette Livre),8
34,EUNSA. Ediciones Universidad de Navarra,8
34,Edelsa,8
34,Adesiara Editorial,8
34,Academia del Hispanismo,8
34,Albatros Ediciones,8
34,Real Academia Galega (RAG),8
34,Ediciones Universidad de Valladolid,8
34,Institución Fernando el Católico,8
35,Trea,7
35,Editorial Sindéresis,7
35,Los Libros de la Catarata,7
35,Servicio Editorial de la UPV/EHU,7
35,Editorial Delirio,7
35,Arcibel Editores,7
35,Sociedad de Estudios Latinos (SELat),7
35,Editorial Barcino,7
35,Pre-textos,7
36,Iustel,6
36,Edicions 62 (Grup62 / Grupo Planeta),6
36,Ánfora Nova,6
36,Publicaciones de la Universidad de Huelva,6
36,Hiperión,6
37,Trotta,5
37,Biblioteca Nueva,5
37,Idea Editorial,5
38,UAM Ediciones,4
38,Editorial Fundamentos,4
38,KRK Ediciones,4
38,Editorial UCA. Servicio de Publicaciones de la Universidad de Cádiz,4
38,Edicions Tres i Quatre,4
39,Turner,3
39,Editorial Universitaria Ramón Areces,3
40,Graó Editorial,2
40,Acantilado,2
40,Publicacions Universitat d’Alacant,2
40,Devenir,2
40,Biblioteca Castro,2
