Editoriales españolas,,
Posición,Editorial,ICEE
1,Pirámide (Grupo Anaya / Hachette Livre),126
2,Síntesis,83
3,McGraw Hill,63
4,Alianza (Grupo Anaya / Hachette Livre),53
5,Pearson Educación,46
6,Dykinson,37
7,Sanz y Torres,29
8,Asunivep,25
9,Prentice Hall Iberia,22
10,Elsevier España,20
11,Ariel (Grupo Planeta),17
12,Aranzadi (Aranzadi LA LEY / Karnov Group),16
12,Herder Editorial,16
13,Consejo Superior de Investigaciones Científicas (CSIC),14
14,Graó Editorial,11
14,Editorial Médica Panamericana,11
14,Desclée de Brouwer,11
14,TEA Ediciones,11
15,Paidós (Grupo Planeta),9
16,Arco Libros – La Muralla,8
16,La Ley (Aranzadi LA LEY / Karnov Group),8
16,Anaya Multimedia (Grupo Anaya),8
17,Centro de Investigaciones Sociológicas (CIS),7
17,"USC, editora (Universidade Santiago de Compostela)",7
18,Fundación BBVA,6
19,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),5
19,Edicions UIB – Universitat de les Illes Balears,5
20,Ediciones Aljibe,4
21,Davinci Continental,3
22,Promolibro Editorial,2
23,Ediciones Martínez Roca (Grupo Planeta),1
23,EOS Psicología (Giunti Psyschometrics),1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
