Posición,Editorial,ICEE
1,"Alianza (Grupo Anaya, Hachette Livre)",90
2,Centro de Investigaciones Sociológicas (CIS),67
3,Tirant lo Blanch (Grupo editorial Tirant lo Blanch),56
4,Dykinson,38
5,Ariel (Grupo Planeta),36
5,Siglo XXI de España Editores (Grupo Akal),36
6,Los Libros de la Catarata,35
7,Consejo Superior de Investigaciones Científicas (CSIC),26
8,Aranzadi (Aranzadi LA LEY / Karnov Group),25
9,"Tecnos (Grupo Anaya, Hachette Livre)",22
10,Akal (Grupo Akal),20
11,Turner,19
12,Capitán Swing,18
13,Anthropos Editorial,17
14,Icaria Editorial,13
15,Síntesis,12
15,Fondo de Cultura Económica de España,12
16,McGraw Hill,11
16,Marcial Pons,11
16,Comares,11
17,Editorial Universitas,9
18,"Cátedra (Grupo Anaya, Hachette Livre)",8
19,"Pirámide (Grupo Anaya, Hachette Livre)",7
19,Servicio Editorial de la UPV/EHU,7
19,La Oveja Roja,7
20,Publicacions de la Universitat de València – PUV,6
20,Pepitas de calabaza,6
20,Editorial UNED,6
21,Ediciones Universidad de Salamanca,5
21,Traficantes de sueños,5
21,Centro de Estudios Andaluces,5
22,Fundación de las Cajas de Ahorros (FUNCAS),4
22,Bellaterra Edicions,4
23,Ediciones Paraninfo,3
24,Asunivep,2
25,Morata,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
