Editorial,Comité de lectura de la colección,Comité de lectura de la editorial,Director/a de la colección,Director/a de la editorial,Expertos externos a la colección,Expertos externos a la editorial,Información sobre sistema de revisión de originales en su web
Academia del Hispanismo,,,1,,,1,1
Aconcagua Libros,1,1,1,,,,
Actar,,1,,1,,1,
ADAPT University Press,,,1,1,,1,
Aduana Vieja,,1,1,1,,1,
AECID,1,1,,,1,1,
Agencia Estatal Boletín Oficial del Estado,,,,,,,1
Albatros Ediciones,,,1,,1,1,
Alianza Editorial,,,1,1,,1,
Almud, Ediciones de Castilla-La Mancha,,1,,,1,1,
AlmuzaraUniversidad,1,1,1,1,1,1,1
Andavira,,,1,1,1,1,
Anthropos,,1,1,1,,,
Antoni Bosch Editor, S.A.,,,,,,,1
Antonio Carlos Novaes,1,1,,,,1,
Ápeiron Ediciones,1,1,1,1,1,1,
Arcibel editores,1,1,1,1,1,1,
Ariadna Ediciones,1,1,,,1,1,1
Associació de Mestres Rosa Sensat,,1,1,1,,,
Atelier Libros,,,,,,1,
Athenaica Ediciones Universitarias,,,,,,,1
Ático de los Libros,,,1,1,,1,
Avarigani,,1,,,,1,
Axac,,,1,1,,,
Barlin Libros,,1,,1,,1,
Benilde ediciones,,1,1,1,1,1,1
Biblioteca Nacional de Cuba,,,,,1,1,
Bolchiro,1,,1,1,,1,
Brief Ediciones S.L.,,1,1,,,,
Cambridge Scholars Publishing,,1,,1,,,1
Casa de Velázquez,,1,,,,1,1
Castilla Ediciones,,,1,,1,,
CEASGA-Publishing,,1,,1,,1,1
Centro Abya Yala,,1,,,,1,
Centro de Estudios Bizantinos, Neogriegos y Chipriotas,1,1,,1,,,
Centro de Estudios Bizantinos, Neogriegos y Chipriotas,1,1,1,1,1,1,1
Centro de Estudios e Investigaciones para el Desarrollo Docente CENID A.C.,1,1,1,,1,,
Centro de Estudios Politicos y Constitucionales,,,,,,,1
Centro De Investigaciones Sociológicas,1,,,,1,,1
Centro de Lingüística Aplicada ATENEA,1,1,1,1,,1,
Centro De Publicaciones Académicas - Corporación Universitaria Unitec,,,,,,1,1
Centro de Publicaciones y carrera de Comunicación Pontificia Universidad Católica del Ecuador,,,,,1,1,1
CEPOAT,1,,,,,1,1
COHS Consultores en Ciencias Humanas,,1,,1,,1,
