editorial,prestigio_antropologia,prestigio_arqueologia,prestigio_bellas_artes,prestigio_biblioteconomia,prestigio_comunicacion,prestigio_derecho,prestigio_economia,prestigio_educacion,prestigio_filosofia,prestigio_general,prestigio_geografia,prestigio_historia,prestigio_literatura,prestigio_politica,prestigio_psicologia,prestigio_sociologia
Alianza Editorial,0.1,0.0,0.46825396825396826,0.0,0.5870480081716037,0.0,0.1,0.8961538461538462,0.9914285714285714,0.9922580645161291,0.18606060606060604,0.9554010695187166,0.4357692307692308,1.0,0.1,1.0
Crítica,0.52,0.25750000000000006,0.0,0.0,0.0,0.0,0.8275,0.0,0.0,0.45701551342033986,0.0,0.8722994652406417,0.32846153846153847,0.0,0.0,0.0
Ediciones Akal,0.18400000000000002,0.9775,1.0,0.0,0.14881511746680287,0.1,0.0,0.6123076923076923,0.8174517374517375,0.863600098497907,0.1,0.9890909090909091,0.5580769230769231,0.0,0.0,0.29007173601147773
Ediciones Cátedra,0.9400000000000001,0.5425000000000001,0.6006349206349206,0.1,1.0,0.0,0.0,0.1,0.5484942084942085,0.9834523516375278,0.950909090909091,0.5822459893048129,1.0,0.0,0.0,0.1
Taurus,0.6040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15606177606177607,0.24031519330214238,0.0,0.27839572192513373,0.18423076923076925,0.1,0.0,0.0
Destino,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15192307692307694,0.0,0.11323811868997784,0.0,0.0,0.0,0.0,0.0,0.0
Acantilado,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.14633341541492245,0.0,0.11251336898395722,0.1,0.0,0.0,0.0
Editorial Anagrama,0.0,0.0,0.28380952380952384,0.0,0.30316649642492344,0.0,0.0,0.0,0.1,0.25492735779364695,0.0,0.0,0.24769230769230774,0.0,0.0,0.0
Siruela,0.0,0.0,0.31873015873015875,0.0,0.0,0.0,0.0,0.0,0.0,0.14633341541492245,0.0,0.0,0.0,0.0,0.0,0.0
Gredos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4603250430928343,0.0,0.1,0.8003846153846154,0.0,0.0,0.0
Alfaguara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12978576705245015,0.0,0.0,0.20038461538461538,0.0,0.0,0.0
Castalia Ediciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18080275794139375,0.0,0.0,0.30192307692307696,0.0,0.0,0.0
Espasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516178281211524,0.0,0.21967914438502673,0.3573076923076923,0.0,0.0,0.0
Hiperión,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.13230769230769232,0.0,0.0,0.0
RAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23232208815562672,0.0,0.0,0.40576923076923077,0.0,0.0,0.0
Seix Barral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tusquets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plaza & Janes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debolsillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tusquets Editores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxi Tusquets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penguin Clásicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
